Ссылка,Цена(BYN),Цена(USD),Тип двигателя,Объем,Пробег,Год выпуска
https://cars.av.by/audi/a8/101422458,34681,12000,бензин,4.2,215000,2008
https://cars.av.by/audi/a8/104051182,34681,12000,бензин,4.2,265000,2007
https://cars.av.by/audi/a8/104393357,34681,12000,дизель,4.1,380000,2007
https://cars.av.by/audi/a8/104461524,35548,12300,дизель,3.9,325000,2004
https://cars.av.by/audi/a8/102540946,35981,12450,дизель,3.9,370000,2004
https://cars.av.by/audi/a8/104088241,36126,12500,бензин,4.2,373000,2005
https://cars.av.by/audi/a8/100151675,36126,12500,бензин,3.1,218378,2008
https://cars.av.by/audi/a8/100394599,36415,12600,дизель,3.0,400000,2005
https://cars.av.by/audi/a8/100322900,37571,13000,бензин,4.2,400000,2007
https://cars.av.by/audi/a8/16204400,37571,13000,бензин,3.1,232000,2007
https://cars.av.by/audi/a8/101945777,37571,13000,бензин,3.2,250000,2007
https://cars.av.by/audi/a8/104292779,38438,13300,дизель,3.9,289000,2003
https://cars.av.by/audi/a8/104129760,38582,13350,бензин,4.2,250000,2003
https://cars.av.by/audi/a8/104293932,38727,13400,дизель,4.1,260800,2006
https://cars.av.by/audi/a8/103766965,39016,13500,дизель,4.1,430000,2007
https://cars.av.by/audi/a8/103857282,39594,13700,дизель,3.0,400000,2005
https://cars.av.by/audi/a8/101407128,40461,14000,бензин,4.2,300000,2011
https://cars.av.by/audi/a8/101618901,40461,14000,бензин,4.2,346000,2008
https://cars.av.by/audi/a8/102550343,40461,14000,бензин,4.2,282000,2008
https://cars.av.by/audi/a8/104188568,40461,14000,бензин,3.1,160000,2009
https://cars.av.by/audi/a8/104291416,43062,14900,дизель,4.1,330000,2006
https://cars.av.by/audi/a8/104156847,43351,15000,дизель,4.1,350000,2007
https://cars.av.by/audi/a8/101313706,44507,15400,бензин,6.0,227179,2008
https://cars.av.by/audi/a8/15668107,44796,15500,дизель,4.1,365000,2008
https://cars.av.by/audi/a8/100246558,44796,15500,бензин,4.2,320000,2010
https://cars.av.by/audi/a8/104352613,45085,15600,бензин,3.0,230000,2012
https://cars.av.by/audi/a8/103674237,45663,15800,бензин,4.2,238000,2006
https://cars.av.by/audi/a8/103371016,46238,15999,бензин,3.0,267000,2010
https://cars.av.by/audi/a8/101702998,46819,16200,бензин,4.2,328500,2010
https://cars.av.by/audi/a8/101828078,47397,16400,бензин,4.2,232000,2005
https://cars.av.by/audi/a8/104310310,48264,16700,бензин,3.0,250000,2010
https://cars.av.by/audi/a8/102167487,48842,16900,дизель,3.0,283000,2007
https://cars.av.by/audi/a8/100891737,49131,17000,дизель,4.1,300887,2008
https://cars.av.by/audi/a8/104351714,51010,17650,бензин,4.2,280000,2010
https://cars.av.by/audi/a8/100183857,53033,18350,бензин,4.2,200150,2010
https://cars.av.by/audi/a8/102394894,53466,18500,бензин,3.0,215000,2012
https://cars.av.by/audi/a8/104234239,54767,18950,бензин,4.2,260000,2011
https://cars.av.by/audi/a8/101394884,54911,19000,бензин,4.2,311000,2011
https://cars.av.by/audi/a8/104384972,54911,19000,бензин,4.2,238000,2010
https://cars.av.by/audi/a8/103313475,56356,19500,бензин,4.2,228405,2008
https://cars.av.by/audi/a8/103244807,56356,19500,бензин,4.2,186100,2011
https://cars.av.by/audi/a8/103609385,56356,19500,бензин,4.2,185000,2011
https://cars.av.by/audi/a8/100963914,56356,19500,бензин,4.2,180000,2010
https://cars.av.by/audi/a8/100380889,57223,19800,бензин,4.2,283000,2010
https://cars.av.by/audi/a8/104270310,57512,19900,бензин,3.0,141000,2012
https://cars.av.by/audi/a8/103817071,57600,19930,бензин,3.0,220000,2011
https://cars.av.by/audi/a8/104299786,57773,19990,бензин,3.0,162000,2012
https://cars.av.by/audi/a8/101417939,57799,19999,бензин,4.2,137000,2010
https://cars.av.by/audi/a8/103370785,57802,20000,бензин,4.2,162000,2011
https://cars.av.by/audi/a8/101419716,61559,21300,дизель,3.0,218000,2009
https://cars.av.by/audi/a8/104173515,62137,21500,бензин,4.2,180000,2012
https://cars.av.by/audi/a8/104265676,63509,21975,дизель,3.0,251301,2011
https://cars.av.by/audi/a8/104112564,63582,22000,бензин,4.2,291000,2011
https://cars.av.by/audi/a8/101373526,66183,22900,дизель,4.1,350000,2010
https://cars.av.by/audi/a8/104392927,66472,23000,дизель,3.0,450000,2012
https://cars.av.by/audi/a8/104097261,67917,23500,дизель,3.0,321000,2010
https://cars.av.by/audi/a8/100802024,69359,23999,бензин,3.0,250000,2013
https://cars.av.by/audi/a8/104385588,69362,24000,дизель,3.0,280000,2012
https://cars.av.by/audi/a8/103593656,70662,24450,бензин,3.0,196000,2013
https://cars.av.by/audi/a8/101403839,70807,24500,дизель,3.0,214000,2012
https://cars.av.by/audi/a8/103629220,72252,25000,бензин,3.0,170000,2014
https://cars.av.by/audi/a8/104097505,72252,25000,дизель,4.1,250000,2010
https://cars.av.by/audi/a8/103995988,72252,25000,бензин,4.0,230000,2012
https://cars.av.by/audi/a8/101548216,72252,25000,бензин,3.0,222000,2015
https://cars.av.by/audi/a8/102591687,73697,25500,дизель,4.1,185000,2011
https://cars.av.by/audi/a8/102001929,76587,26500,бензин,3.0,177000,2011
https://cars.av.by/audi/a8/103435153,76587,26500,дизель,4.1,151000,2011
https://cars.av.by/audi/a8/104286698,79188,27400,дизель,4.1,163100,2013
https://cars.av.by/audi/a8/102201530,79477,27500,дизель,3.0,181000,2010
https://cars.av.by/audi/a8/100698650,80922,28000,бензин,3.0,205000,2013
https://cars.av.by/audi/a8/101345460,80922,28000,бензин,6.3,190563,2012
https://cars.av.by/audi/a8/104383489,80922,28000,бензин,4.0,321000,2014
https://cars.av.by/audi/a8/100567706,83812,29000,бензин,3.0,170000,2014
https://cars.av.by/audi/a8/101359099,86413,29900,дизель,3.0,159500,2010
https://cars.av.by/audi/a8/103523269,86703,30000,бензин,4.0,260000,2013
https://cars.av.by/audi/a8/102652476,86703,30000,бензин,3.0,48000,2011
https://cars.av.by/audi/a8/102580865,89593,31000,бензин,3.0,173600,2014
https://cars.av.by/audi/a8/102072959,92483,32000,бензин,4.0,148000,2014
https://cars.av.by/audi/a8/103532084,100864,34900,дизель,3.0,167000,2014
https://cars.av.by/audi/a8/103323720,104043,36000,дизель,3.0,238000,2015
https://cars.av.by/audi/a8/104030746,105488,36500,бензин,4.0,163000,2015
https://cars.av.by/audi/a8/103847076,110930,38383,дизель,3.0,173150,2015
https://cars.av.by/audi/a8/103965161,119939,41500,бензин,4.0,155000,2014
https://cars.av.by/audi/a8/100267623,121384,42000,бензин,3.0,170000,2015
https://cars.av.by/audi/a8/104409729,135834,47000,бензин,4.0,77500,2017
https://cars.av.by/audi/a8/104292604,179186,62000,бензин,3.0,188000,2018
https://cars.av.by/audi/a8/103522845,187853,64999,дизель,3.0,170000,2018
https://cars.av.by/audi/a8/104308311,187856,65000,дизель,3.0,99000,2018
https://cars.av.by/audi/a8/104324874,190743,65999,дизель,3.0,39648,2018
https://cars.av.by/audi/a8/104098485,191180,66150,дизель,3.0,113460,2019
https://cars.av.by/audi/a8/103531792,196237,67900,бензин,3.0,44000,2019
https://cars.av.by/audi/a8/103925011,196382,67950,дизель,3.0,76000,2019
https://cars.av.by/audi/a8/104324751,196526,68000,дизель,3.0,77000,2019
https://cars.av.by/audi/a8/104460496,210688,72900,дизель,3.0,108000,2018
https://cars.av.by/audi/a8/100924872,210977,73000,бензин,3.0,137000,2018
https://cars.av.by/audi/a8/101573083,210977,73000,дизель,3.0,126000,2018
https://cars.av.by/audi/a8/104317717,210977,73000,дизель,3.0,58000,2019
https://cars.av.by/audi/a8/102061401,210977,73000,дизель,3.0,166000,2017
https://cars.av.by/audi/a8/104119331,225427,78000,дизель,3.0,33811,2019
https://cars.av.by/audi/a8/104321602,231208,80000,бензин,3.0,85000,2018
https://cars.av.by/audi/a8/103729918,251438,87000,бензин,3.0,185000,2018
https://cars.av.by/audi/a8/101653344,255773,88500,дизель,3.0,46000,2019
https://cars.av.by/audi/a8/101787255,260109,90000,бензин,3.0,128000,2019
https://cars.av.by/audi/a8/103619873,289010,100000,бензин,3.0,62400,2018
https://cars.av.by/audi/a8/103758239,315020,109000,бензин,4.0,64252,2019
