Ссылка,Цена(BYN),Цена(USD),Тип двигателя,Объем,Пробег,Год выпуска
https://cars.av.by/audi/a8/100151675,36776,12500,бензин,3.1,218378,2008
https://cars.av.by/audi/a8/100394599,37364,12700,дизель,3.0,400000,2005
https://cars.av.by/audi/a8/100322900,38247,13000,бензин,4.2,400000,2007
https://cars.av.by/audi/a8/16204400,38247,13000,бензин,3.1,232000,2007
https://cars.av.by/audi/a8/101945777,38247,13000,бензин,3.2,250000,2007
https://cars.av.by/audi/a8/104129760,39277,13350,бензин,4.2,250000,2003
https://cars.av.by/audi/a8/104293932,39424,13400,дизель,4.1,260800,2006
https://cars.av.by/audi/a8/103766965,39718,13500,дизель,4.1,430000,2007
https://cars.av.by/audi/a8/103857282,40306,13700,дизель,3.0,400000,2005
https://cars.av.by/audi/a8/104292779,40600,13800,дизель,3.9,289000,2003
https://cars.av.by/audi/a8/101407128,41189,14000,бензин,4.2,300000,2011
https://cars.av.by/audi/a8/102550343,41189,14000,бензин,4.2,282000,2008
https://cars.av.by/audi/a8/103739366,41189,14000,бензин,3.0,280000,2011
https://cars.av.by/audi/a8/104188568,41189,14000,бензин,3.1,160000,2009
https://cars.av.by/audi/a8/101618901,43248,14700,бензин,4.2,346000,2008
https://cars.av.by/audi/a8/104291416,43837,14900,дизель,4.1,330000,2006
https://cars.av.by/audi/a8/104156847,44131,15000,дизель,4.1,350000,2007
https://cars.av.by/audi/a8/101313706,45308,15400,бензин,6.0,227179,2008
https://cars.av.by/audi/a8/100246558,45602,15500,бензин,4.2,320000,2010
https://cars.av.by/audi/a8/15668107,45602,15500,дизель,4.1,365000,2008
https://cars.av.by/audi/a8/103371016,47070,15999,бензин,3.0,267000,2010
https://cars.av.by/audi/a8/103674237,47073,16000,бензин,4.2,238000,2006
https://cars.av.by/audi/a8/101828078,48250,16400,бензин,4.2,232000,2005
https://cars.av.by/audi/a8/104310310,48544,16500,бензин,3.0,250000,2010
https://cars.av.by/audi/a8/102394894,48544,16500,бензин,3.0,213000,2012
https://cars.av.by/audi/a8/102167487,49721,16900,дизель,3.0,283000,2007
https://cars.av.by/audi/a8/104352613,50015,17000,бензин,3.0,230000,2012
https://cars.av.by/audi/a8/100891737,50015,17000,дизель,4.1,300887,2008
https://cars.av.by/audi/a8/104351714,51928,17650,бензин,4.2,280000,2010
https://cars.av.by/audi/a8/100183857,54723,18600,бензин,4.2,199100,2010
https://cars.av.by/audi/a8/104234239,55752,18950,бензин,4.2,260000,2011
https://cars.av.by/audi/a8/103313475,57370,19500,бензин,4.2,228405,2008
https://cars.av.by/audi/a8/103244807,57370,19500,бензин,4.2,186100,2011
https://cars.av.by/audi/a8/103609385,57370,19500,бензин,4.2,185000,2011
https://cars.av.by/audi/a8/100963914,57370,19500,бензин,4.2,180000,2010
https://cars.av.by/audi/a8/103817071,57600,19577,бензин,3.0,220000,2011
https://cars.av.by/audi/a8/104299786,58812,19990,бензин,3.0,162000,2012
https://cars.av.by/audi/a8/101417939,58839,19999,бензин,4.2,137000,2010
https://cars.av.by/audi/a8/103370785,58842,20000,бензин,4.2,162000,2011
https://cars.av.by/audi/a8/100324912,60313,20500,бензин,4.2,220000,2010
https://cars.av.by/audi/a8/101419716,62666,21300,дизель,3.0,218000,2009
https://cars.av.by/audi/a8/104270310,62813,21350,бензин,3.0,141000,2012
https://cars.av.by/audi/a8/104173515,63255,21500,бензин,4.2,180000,2012
https://cars.av.by/audi/a8/103808153,64431,21900,дизель,4.1,420000,2010
https://cars.av.by/audi/a8/104264397,64726,22000,бензин,4.0,230000,2012
https://cars.av.by/audi/a8/104112564,64726,22000,бензин,4.2,291000,2011
https://cars.av.by/audi/a8/104265676,66197,22500,дизель,3.0,251301,2011
https://cars.av.by/audi/a8/102465485,68550,23300,бензин,3.0,187000,2014
https://cars.av.by/audi/a8/104097261,69727,23700,дизель,3.0,321000,2010
https://cars.av.by/audi/a8/100802024,70607,23999,бензин,3.0,250000,2013
https://cars.av.by/audi/a8/101891153,70610,24000,бензин,4.0,173000,2014
https://cars.av.by/audi/a8/101373526,71198,24200,дизель,4.1,350000,2010
https://cars.av.by/audi/a8/101403839,72081,24500,дизель,3.0,214000,2012
https://cars.av.by/audi/a8/104041337,72816,24750,бензин,3.0,119000,2014
https://cars.av.by/audi/a8/103593656,73549,24999,бензин,3.0,194000,2013
https://cars.av.by/audi/a8/104097505,73552,25000,дизель,4.1,250000,2010
https://cars.av.by/audi/a8/103629220,73552,25000,бензин,3.0,170000,2014
https://cars.av.by/audi/a8/103995988,73552,25000,бензин,4.0,230000,2012
https://cars.av.by/audi/a8/101548216,73552,25000,бензин,3.0,222000,2015
https://cars.av.by/audi/a8/102591687,75023,25500,дизель,4.1,185000,2011
https://cars.av.by/audi/a8/101409262,76494,26000,бензин,3.0,229000,2014
https://cars.av.by/audi/a8/103433847,76494,26000,дизель,4.1,231000,2010
https://cars.av.by/audi/a8/102001929,77965,26500,бензин,3.0,177000,2011
https://cars.av.by/audi/a8/103435153,77965,26500,дизель,4.1,151000,2011
